MR,Adj_Pval,Adj.Pval
TGFBR3,0.0168702247380092,0.0168702247380092
PFKM,7.23636782827384e-24,7.23636782827384e-24
CDH13,6.66478293308555e-09,6.66478293308555e-09
NTRK3,3.7635348595427e-07,3.7635348595427e-07
PDE2A,4.15588365905479e-21,4.15588365905479e-21
SFRP2,9.51809087863127e-11,9.51809087863127e-11
TMEM100,5.34650818356148e-08,5.34650818356148e-08
RUNX1T1,3.44833611972003e-18,3.44833611972003e-18
NRIP2,1.17513856966879e-16,1.17513856966879e-16
ZNF7,3.4621888366037e-07,3.4621888366037e-07
LHX4,0.0428660120447634,0.0428660120447634
KAT2A,0.000860610794306152,0.000860610794306152
PPM1A,1.56114372241445e-32,1.56114372241445e-32
ZNF276,1.49417360860254e-07,1.49417360860254e-07
TSSK4,2.98415097108246e-18,2.98415097108246e-18
ZNF696,2.11468990784246e-24,2.11468990784246e-24
GLI4,5.69106710891276e-07,5.69106710891276e-07
GRHL3,1.57296543051213e-08,1.57296543051213e-08
ING5,1.2485191218329e-18,1.2485191218329e-18
PRMT5,1.06978282003934e-13,1.06978282003934e-13
PIDD1,0.00255761052131938,0.00255761052131938
ZNF337,3.05216076908658e-07,3.05216076908658e-07
KMT5C,0.00393775719006912,0.00393775719006912
ZNF354B,0.012977797872973,0.012977797872973
MTERF2,1.07858988334861e-17,1.07858988334861e-17
BOLA1,5.50806624945908e-14,5.50806624945908e-14
HDAC10,0.0356904260740047,0.0356904260740047
NMI,3.29323503133125e-41,3.29323503133125e-41
PYCARD,1.23739770641236e-34,1.23739770641236e-34
RPS6KA4,3.83225811654221e-17,3.83225811654221e-17
E2F1,0.001386313440597,0.001386313440597
ORC1,3.46654888070842e-20,3.46654888070842e-20
PTTG1,2.39152503377946e-24,2.39152503377946e-24
FOXM1,6.39149471674587e-12,6.39149471674587e-12
DAB2,9.17388819625404e-19,9.17388819625404e-19
TLR6,2.20526498967909e-37,2.20526498967909e-37
RHOG,2.64727338011711e-41,2.64727338011711e-41
SETD3,3.56218373651232e-22,3.56218373651232e-22
PEG3,1.31420278242008e-29,1.31420278242008e-29
IPPK,6.98270781332347e-19,6.98270781332347e-19
ZNF770,9.54631059621371e-18,9.54631059621371e-18
ZNF3,3.52745058283966e-06,3.52745058283966e-06
GTF2H4,0.00233347446610732,0.00233347446610732
ZNF133,1.03583483707125e-16,1.03583483707125e-16
