x
1
2
4
9
12
13
14
16
20
23
24
28
31
32
34
35
37
40
41
42
43
45
46
47
48
50
51
52
53
54
55
57
64
66
71
74
78
81
83
84
89
90
95
101
103
105
107
108
111
113
115
116
117
119
124
129
131
132
133
135
138
139
140
143
146
151
152
153
155
163
166
169
