x
1
4
8
10
11
12
14
15
16
17
20
24
27
28
29
31
32
34
36
37
38
42
43
44
45
48
50
51
52
53
58
59
60
61
64
65
67
72
73
78
79
80
83
84
87
88
89
90
92
96
103
