Source Target Weight
RGMA IQCG 1
RGMA SLC41A3 1
RGMA ROPN1B 1
RGMA TFCP2L1 1
RGMA ST3GAL5 1
RGMA WNT6 1
RGMA IL1RL2 1
RGMA RND3 1
RGMA RALGPS2 1
RGMA TRIM62 1
RGMA RCN2 1
RGMA PLAGL1 1
RGMA BCL11A 1
RGMA ETV3L 1
RGMA PABPC4L 1
RGMA LINC01152 1
RGMA MGAM2 1
RGMA LINC01579 1
RGMA LINC00933 1
RGMA LINC01225 1
RGMA SNAI3-AS1 1
RGMA MIR4263 1
RGMA ZNF488 1
RGMA GATA6-AS1 1
RGMA LINC01140 1
RGMA KCNJ2-AS1 1
RGMA FBXO17 1
RGMA PLA2G4C-AS1 1
RGMA EQTN 1
RGMA MOB3B 1
RGMA MAGEB4 1
RGMA WDR55 1
RGMA CRISPLD1 1
RGMA PTGFR 1
RGMA WIPF3 1
RGMA GLIPR2 1
RGMA SPINK4 1
RGMA PHF24 1
RGMA MATN4 1
RGMA HIF3A 1
RGMA PSG8 1
RGMA GRM4 1
RGMA EMC3 1
RGMA GDF5 1
RGMA FFAR2 1
RGMA ZC4H2 1
RGMA MASP1 1
RGMA OR7C1 1
RGMA GNAI1 1
RGMA ANTXRL 1
RGMA ADRA2B 1
RGMA MGAT3 1
RGMA C22orf23 1
RGMA RNF112 1
RGMA SMO 1
RGMA KLK10 1
RGMA QRICH2 1
RGMA MAP7D3 1
RGMA ATP8B3 1
RGMA NCAN 1
RGMA FUT5 1
RGMA ARHGEF9 1
RGMA SH3BP5 1
RGMA CA6 1
RGMA KHDRBS3 1
RGMA MATN2 1
RGMA ANKEF1 1
RGMA PPP1R3D 1
RGMA GPR12 1
RGMA CHRM3 1
RGMA TMCC2 1
RGMA ACTR3B 1
RGMA DZIP1 1
RGMA BICDL1 1
RGMA ELF5 1
RGMA CCDC102A 1
RGMA GPR55 1
RGMA SERPINE2 1
RGMA CYP27A1 1
RGMA TANK 1
RGMA TMOD1 1
RGMA GABBR2 1
RGMA FGFBP2 1
RGMA FXYD6 1
RGMA BCL2L10 1
RGMA SIX3 1
RGMA PAPSS1 1
RGMA ETV6 1
RGMA HAPLN3 1
RGMA RLBP1 1
RGMA MFGE8 1
RGMA LRRC46 1
RGMA MAPK4 1
RGMA APP 1
RGMA FBN3 1
RGMA LMO4 1
RGMA TBX19 1
RGMA TP53BP2 1
RGMA OSR1 1
RGMA C1QL2 1
RGMA ABCA12 1
RGMA STAC 1
RGMA BOC 1
RGMA TCTA 1
RGMA GFRA3 1
RGMA RASGEF1C 1
RGMA CYP39A1 1
RGMA PNRC1 1
RGMA PM20D2 1
RGMA SLC2A12 1
RGMA NFIB 1
RGMA GSN 1
RGMA FAM171A1 1
RGMA SLC39A12 1
RGMA RGR 1
RGMA ADD3 1
RGMA CCDC82 1
RGMA SLX4IP 1
RGMA KIAA1755 1
RGMA CNKSR2 1
RGMA CCDC83 1
RGMA TCF7L1 1
RGMA FAM151B 1
RGMA OLAH 1
RGMA NMT2 1
RGMA CCDC50 1
RGMA ZIC1 1
RGMA ADGRA3 1
RGMA SLC25A27 1
RGMA CMTM7 1
RGMA SPHKAP 1
RGMA C10orf90 1
RGMA CNTNAP3B 1
RGMA SRSF12 1
RGMA ADAMTS1 1
RGMA EPHB1 1
RGMA FZD7 1
SFRP1 KLHL13 1
SFRP1 ABCB4 1
SFRP1 SOX8 1
SFRP1 ASB4 1
SFRP1 CX3CL1 1
SFRP1 PROM1 1
SFRP1 CLCA4 1
SFRP1 GPM6B 1
SFRP1 ALX4 1
SFRP1 LY75 1
SFRP1 FOXC1 1
SFRP1 NGFR 1
SFRP1 ROPN1 1
SFRP1 FBXO32 1
SFRP1 SYN2 1
SFRP1 IL34 1
SFRP1 KIT 1
SFRP1 SLC34A2 1
SFRP1 NRG2 1
SFRP1 NPM2 1
SFRP1 CACHD1 1
SFRP1 RCAN1 1
SFRP1 TEPP 1
SFRP1 S100B 1
SFRP1 PRMT2 1
SFRP1 AQP5 1
SFRP1 KLHL21 1
SFRP1 ALPL 1
SFRP1 CDH19 1
SFRP1 PTGS2 1
SFRP1 RARB 1
SFRP1 PAK3 1
SFRP1 CAPN6 1
SFRP1 EDN1 1
SFRP1 DCT 1
SFRP1 CXCL2 1
SFRP1 SLCO1A2 1
SFRP1 FAT2 1
SFRP1 PPEF1 1
SFRP1 TFAP2C 1
SFRP1 ITGA6 1
SFRP1 TF 1
SFRP1 PTX3 1
SFRP1 KLF15 1
SFRP1 PRSS12 1
SFRP1 SCRG1 1
SFRP1 SLC45A2 1
SFRP1 ENPP6 1
SFRP1 FABP7 1
SFRP1 DACT2 1
SFRP1 DEFB1 1
SFRP1 CA3 1
SFRP1 TMEM71 1
SFRP1 PTCHD1 1
SFRP1 NDRG2 1
SFRP1 CMTM5 1
SFRP1 CYYR1 1
SFRP1 RIC3 1
SFRP1 SAMD14 1
SFRP1 GPRC5B 1
SFRP1 LALBA 1
SFRP1 TTYH1 1
SFRP1 SERPINF2 1
SFRP1 KLK5 1
SFRP1 FAM107A 1
SFRP1 NSG1 1
SFRP1 KLK7 1
SFRP1 DHRSX 1
SFRP1 MUC15 1
SFRP1 BNC1 1
SFRP1 IFFO2 1
SFRP1 IRX1 1
SFRP1 ALK 1
SFRP1 MUC7 1
SFRP1 CSN3 1
SFRP1 SOSTDC1 1
SFRP1 KRT15 1
SFRP1 COL24A1 1
SFRP1 ID4 1
SFRP1 B3GALT1 1
SFRP1 HPSE2 1
SFRP1 STOX2 1
SFRP1 SAA1 1
SFRP1 ADGRG2 1
SFRP1 UGT8 1
SFRP1 C1orf127 1
SFRP1 GNG7 1
SFRP1 CAPZA3 1
SFRP1 TMEM151B 1
SFRP1 RNF186 1
SFRP1 C2orf71 1
SFRP1 LBX2 1
SFRP1 GRM8 1
SFRP1 TPPP2 1
SFRP1 MRGPRX3 1
SFRP1 ADGRD2 1
SFRP1 CCDC129 1
SFRP1 FDCSP 1
SFRP1 FAM181B 1
SFRP1 RGMA 1
SFRP1 SYNM 1
SFRP1 HS3ST4 1
SFRP1 RGS6 1
SFRP1 OVCH2 1
SFRP1 SLC35F3 1
SFRP1 EMILIN3 1
SFRP1 SCN5A 1
SFRP1 KCNH8 1
SFRP1 MAML2 1
SFRP1 NCMAP 1
SFRP1 JAG2 1
SFRP1 IFNLR1 1
SFRP1 KRT6B 1
SFRP1 LEMD1 1
SFRP1 KRT5 1
SFRP1 PRG2 1
SFRP1 KRT14 1
SFRP1 MT1X 1
SFRP1 C2orf88 1
SFRP1 GABRD 1
SFRP1 TMEM220 1
SFRP1 OR7A5 1
SFRP1 ALKAL2 1
SFRP1 MYBPC1 1
SFRP1 C20orf204 1
SFRP1 SMIM10L2B 1
SFRP1 DCHS2 1
SFRP1 SLC28A3 1
SFRP1 FAM3D 1
SFRP1 RASSF9 1
SFRP1 ASB12 1
SFRP1 SAMD5 1
SFRP1 FAM196B 1
SFRP1 MT1M 1
SFRP1 CATSPER2P1 1
SFRP1 SERPINB5 1
SFRP1 TMEM200C 1
SFRP1 GABRP 1
SFRP1 FMO2 1
SFRP1 POLR2F 1
SFRP1 PYGB 1
SFRP1 FERMT1 1
SFRP1 BPI 1
SFRP1 LIPG 1
SFRP1 CHRDL1 1
SFRP1 VGLL1 1
SFRP1 HTR2A 1
SFRP1 KLF5 1
SFRP1 FGF9 1
SFRP1 OLFM4 1
SFRP1 PRSS33 1
SFRP1 SLC6A2 1
SFRP1 OCA2 1
SFRP1 TGM5 1
SFRP1 TMEM213 1
SFRP1 LINC00092 1
SFRP1 ZNF341-AS1 1
SFRP1 DLG3-AS1 1
SFRP1 LINC01354 1
SFRP1 IL27RA 1
SFRP1 ITGB8 1
SFRP1 MET 1
SFRP1 PTPRZ1 1
SFRP1 CNTNAP3 1
SFRP1 APBA1 1
SFRP1 HLF 1
SFRP1 TRIM2 1
SFRP1 CRYAB 1
SFRP1 FOLR1 1
SFRP1 HPS5 1
SFRP1 SLCO4A1-AS1 1
SFRP1 SLC26A4-AS1 1
SFRP1 AGAP1-IT1 1
SFRP1 LINC00607 1
SFRP1 LINC00987 1
SFRP1 NFIA-AS2 1
SFRP1 TDGF1 1
SFRP1 GSTA1 1
SFRP1 ETV5 1
SFRP1 OXCT1-AS1 1
SFRP1 TUNAR 1
SFRP1 TMED7-TICAM2 1
SFRP1 BMP5 1
SFRP1 SLC27A6 1
SFRP1 ROPN1B 1
SFRP1 CLIP4 1
SFRP1 TACR1 1
SFRP1 SMYD1 1
SFRP1 ERRFI1 1
SFRP1 KCNC4 1
SFRP1 RPE65 1
SFRP1 PROX1 1
SFRP1 C2orf40 1
SFRP1 BCL11A 1
SFRP1 AC027306.1 1
SFRP1 ETV3L 1
SFRP1 SAA2-SAA4 1
SFRP1 LINC01152 1
SFRP1 MGAM2 1
SFRP1 CRHR1 1
SFRP1 MIR548AO 1
SFRP1 ANXA8L1 1
SFRP1 SLC6A14 1
SFRP1 PLA2G4C-AS1 1
SFRP1 MOB3B 1
SFRP1 CRISPLD1 1
SFRP1 PTGFR 1
SFRP1 FAM126A 1
SFRP1 PHF24 1
SFRP1 CHST3 1
SFRP1 C4BPA 1
SFRP1 EDN3 1
SFRP1 HIF3A 1
SFRP1 GRM4 1
SFRP1 GDF5 1
SFRP1 FFAR2 1
SFRP1 MASP1 1
SFRP1 OR7C1 1
SFRP1 GRIN2B 1
SFRP1 KRT17 1
SFRP1 BBOX1 1
SFRP1 KLK10 1
SFRP1 KLK8 1
SFRP1 RGN 1
SFRP1 CA6 1
SFRP1 ITGB4 1
SFRP1 NES 1
SFRP1 GPR12 1
SFRP1 CHI3L1 1
SFRP1 LGR6 1
SFRP1 SAA2 1
SFRP1 DSG3 1
SFRP1 DSG1 1
SFRP1 DSC3 1
SFRP1 CLDN10 1
SFRP1 MRAP2 1
SFRP1 ELF5 1
SFRP1 EDAR 1
SFRP1 USP44 1
SFRP1 TBC1D4 1
SFRP1 SPRY2 1
SFRP1 TANK 1
SFRP1 FGFBP1 1
SFRP1 MMP7 1
SFRP1 MMP20 1
SFRP1 TRIM29 1
SFRP1 FXYD6 1
SFRP1 LOXL4 1
SFRP1 CHRNA1 1
SFRP1 FAM13A 1
SFRP1 FGF2 1
SFRP1 ANXA3 1
SFRP1 PLCZ1 1
SFRP1 NTRK3 1
SFRP1 MFGE8 1
SFRP1 GNAL 1
SFRP1 MAPK4 1
SFRP1 STAC2 1
SFRP1 TINAGL1 1
SFRP1 LEFTY2 1
SFRP1 OSR1 1
SFRP1 C1QL2 1
SFRP1 ITGA9 1
SFRP1 STAC 1
SFRP1 IL17RD 1
SFRP1 BOC 1
SFRP1 TSLP 1
SFRP1 KCNMB1 1
SFRP1 CYP39A1 1
SFRP1 LINC01558 1
SFRP1 VWDE 1
SFRP1 NFIB 1
SFRP1 FAM171A1 1
SFRP1 SLC39A12 1
SFRP1 RGR 1
SFRP1 SAA4 1
SFRP1 SYT8 1
SFRP1 DRD2 1
SFRP1 KIAA1755 1
SFRP1 CNKSR2 1
SFRP1 FAM124A 1
SFRP1 KCTD14 1
SFRP1 ANO4 1
SFRP1 SAV1 1
SFRP1 FAM151B 1
SFRP1 BMP6 1
SFRP1 SLC25A27 1
SFRP1 CMTM7 1
SFRP1 SPHKAP 1
SFRP1 KCNJ16 1
SFRP1 CHST9 1
SFRP1 C10orf90 1
SFRP1 CNTNAP3B 1
SFRP1 PDE1C 1
SFRP1 ADAMTS1 1
SFRP1 EPHB1 1
SFRP1 TMEM237 1
SFRP1 FZD7 1
SFRP1 WIF1 1
VGLL1 CFTR 1
VGLL1 ACSM3 1
VGLL1 CX3CL1 1
VGLL1 PROM1 1
VGLL1 PLEKHG6 1
VGLL1 CDH3 1
VGLL1 DGAT2 1
VGLL1 CHI3L2 1
VGLL1 B3GNT7 1
VGLL1 IL34 1
VGLL1 SVOPL 1
VGLL1 SLC34A2 1
VGLL1 MPZ 1
VGLL1 LAD1 1
VGLL1 RCAN1 1
VGLL1 SCUBE1 1
VGLL1 CPAMD8 1
VGLL1 PDE9A 1
VGLL1 PKNOX1 1
VGLL1 MPZL3 1
VGLL1 CXCL16 1
VGLL1 NIPAL1 1
VGLL1 INAVA 1
VGLL1 DAPP1 1
VGLL1 CNGB1 1
VGLL1 NCK2 1
VGLL1 MYO3B 1
VGLL1 CA12 1
VGLL1 IGSF9B 1
VGLL1 PKP1 1
VGLL1 HSD17B2 1
VGLL1 SLC15A1 1
VGLL1 DOCK3 1
VGLL1 TMEM40 1
VGLL1 SLC4A11 1
VGLL1 LZTS3 1
VGLL1 FXYD5 1
VGLL1 FETUB 1
VGLL1 SMPX 1
VGLL1 TGM1 1
VGLL1 UNC13D 1
VGLL1 TMEM79 1
VGLL1 IL17RE 1
VGLL1 FANCD2OS 1
VGLL1 FABP7 1
VGLL1 IL22RA2 1
VGLL1 KCNK5 1
VGLL1 DEFB1 1
VGLL1 TRPV6 1
VGLL1 PTCHD1 1
VGLL1 SLC39A2 1
VGLL1 PLEKHF1 1
VGLL1 SERPINB7 1
VGLL1 CRABP1 1
VGLL1 A2ML1 1
VGLL1 TTYH1 1
VGLL1 TMEM145 1
VGLL1 LY6D 1
VGLL1 KLK5 1
VGLL1 KLK6 1
VGLL1 VASN 1
VGLL1 FAM107A 1
VGLL1 RHOH 1
VGLL1 CHRM1 1
VGLL1 KLK7 1
VGLL1 ACTBL2 1
VGLL1 FAM110B 1
VGLL1 MUC15 1
VGLL1 UGP2 1
VGLL1 TM4SF4 1
VGLL1 KRT86 1
VGLL1 KRT4 1
VGLL1 KRT83 1
VGLL1 UGT2B7 1
VGLL1 KRT15 1
VGLL1 LRRC8D 1
VGLL1 CALB2 1
VGLL1 PRSS27 1
VGLL1 C11orf86 1
VGLL1 GALNTL6 1
VGLL1 MYO1H 1
VGLL1 GRAMD2A 1
VGLL1 KCNE5 1
VGLL1 YES1 1
VGLL1 FOXL1 1
VGLL1 ERICH5 1
VGLL1 MYOZ1 1
VGLL1 P4HTM 1
VGLL1 STX19 1
VGLL1 TMEM139 1
VGLL1 B3GNT3 1
VGLL1 TIGD2 1
VGLL1 MUC16 1
VGLL1 FDCSP 1
VGLL1 RAD51B 1
VGLL1 NLRP10 1
VGLL1 GSTA5 1
VGLL1 JRKL 1
VGLL1 RIPK4 1
VGLL1 EFNA5 1
VGLL1 FAM19A3 1
VGLL1 CLDN6 1
VGLL1 TMEM105 1
VGLL1 KRT6B 1
VGLL1 KLHL34 1
VGLL1 LEMD1 1
VGLL1 KRT5 1
VGLL1 TMPRSS12 1
VGLL1 DEFB132 1
VGLL1 TAF9B 1
VGLL1 ATP13A5 1
VGLL1 NCCRP1 1
VGLL1 GJB3 1
VGLL1 CLDN4 1
VGLL1 MYT1 1
VGLL1 HRCT1 1
VGLL1 KRT39 1
VGLL1 CNGA1 1
VGLL1 FAM3D 1
VGLL1 PPP1R14C 1
VGLL1 MIRLET7A2 1
VGLL1 ZFP57 1
VGLL1 MOG 1
VGLL1 CASC10 1
VGLL1 ARID3C 1
VGLL1 KRT81 1
VGLL1 GABRP 1
VGLL1 DOK5 1
VGLL1 FERMT1 1
VGLL1 CELF4 1
VGLL1 HTATSF1 1
VGLL1 KLF5 1
VGLL1 OLFM4 1
VGLL1 MSLN 1
VGLL1 SLC6A2 1
VGLL1 KCNN4 1
VGLL1 PPP1CB 1
VGLL1 ATP6V1G2 1
VGLL1 CLDN9 1
VGLL1 MAGEB1 1
VGLL1 IGSF23 1
VGLL1 LINC02076 1
VGLL1 SNORD93 1
VGLL1 TRIM49D1 1
VGLL1 LINC00113 1
VGLL1 AC097625.1 1
VGLL1 LEMD1-AS1 1
VGLL1 NKX1-2 1
VGLL1 OGFR-AS1 1
VGLL1 LINC01508 1
VGLL1 CYP21A2 1
VGLL1 LSR 1
VGLL1 ATP6V0A4 1
VGLL1 MET 1
VGLL1 CHN2 1
VGLL1 APBA1 1
VGLL1 CCNY 1
VGLL1 KRT23 1
VGLL1 ODAM 1
VGLL1 CHIC2 1
VGLL1 CRYAB 1
VGLL1 CCKBR 1
VGLL1 FOLR1 1
VGLL1 SOX6 1
VGLL1 RASAL1 1
VGLL1 ST8SIA1 1
VGLL1 STK38 1
VGLL1 LINC00284 1
VGLL1 SPAAR 1
VGLL1 MYO16-AS1 1
VGLL1 SIX3-AS1 1
VGLL1 IFNA4 1
VGLL1 LINC01186 1
VGLL1 MLIP-IT1 1
VGLL1 LINC01119 1
VGLL1 ARHGEF26-AS1 1
VGLL1 GSTA1 1
VGLL1 CASC8 1
VGLL1 PERP 1
VGLL1 CLDN16 1
VGLL1 STEAP3 1
VGLL1 GALNT3 1
VGLL1 WNT6 1
VGLL1 QPCT 1
VGLL1 SLC35D1 1
VGLL1 PADI2 1
VGLL1 TNNT2 1
VGLL1 ATL2 1
VGLL1 LINC00592 1
VGLL1 ANXA8 1
VGLL1 SLC6A14 1
VGLL1 HMGN3-AS1 1
VGLL1 MAGEB4 1
VGLL1 PHF24 1
VGLL1 PI3 1
VGLL1 SLPI 1
VGLL1 KCNS1 1
VGLL1 AIF1L 1
VGLL1 LINC01235 1
VGLL1 ANTXRL 1
VGLL1 MIR6772 1
VGLL1 PICSAR 1
VGLL1 MIR4697HG 1
VGLL1 KRT17 1
VGLL1 BBOX1 1
VGLL1 KLK10 1
VGLL1 KLK8 1
VGLL1 PGPEP1 1
VGLL1 TNNI2 1
VGLL1 DUSP9 1
VGLL1 ARHGEF9 1
VGLL1 KCNC3 1
VGLL1 GPR12 1
VGLL1 VRTN 1
VGLL1 CHIA 1
VGLL1 VTCN1 1
VGLL1 GRHL1 1
VGLL1 PIWIL4 1
VGLL1 DSC3 1
VGLL1 DSC1 1
VGLL1 ELF5 1
VGLL1 KRT7 1
VGLL1 EMX1 1
VGLL1 PCDH8 1
VGLL1 TANK 1
VGLL1 IL36RN 1
VGLL1 ABI1 1
VGLL1 GABBR2 1
VGLL1 CTSV 1
VGLL1 FGFBP1 1
VGLL1 MMP7 1
VGLL1 TRIM29 1
VGLL1 TMPRSS13 1
VGLL1 SIX3 1
VGLL1 GPR87 1
VGLL1 GPAT3 1
VGLL1 ANXA3 1
VGLL1 MORN3 1
VGLL1 SLC27A2 1
VGLL1 TLE3 1
VGLL1 CELF6 1
VGLL1 CHST4 1
VGLL1 TLDC1 1
VGLL1 STAC2 1
VGLL1 C1orf94 1
VGLL1 HORMAD1 1
VGLL1 KCNH1 1
VGLL1 SMYD2 1
VGLL1 ATP6V1C2 1
VGLL1 TRIM43 1
VGLL1 C1QL2 1
VGLL1 TRPM8 1
VGLL1 STAC 1
VGLL1 PCYOX1L 1
VGLL1 GFRA3 1
VGLL1 RASGEF1C 1
VGLL1 MLIP 1
VGLL1 SCUBE3 1
VGLL1 SLC2A12 1
VGLL1 NFIB 1
VGLL1 LCN2 1
VGLL1 USP6NL 1
VGLL1 FAM171A1 1
VGLL1 SLC39A12 1
VGLL1 RSU1 1
VGLL1 ANKRD1 1
VGLL1 SYT8 1
VGLL1 MPZL2 1
VGLL1 FSIP1 1
VGLL1 CCL28 1
VGLL1 TCF7L1 1
VGLL1 OLAH 1
VGLL1 ADGRF1 1
VGLL1 CHODL 1
VGLL1 XAGE2 1
VGLL1 RASA2 1
IFI16 CFH 1
IFI16 TMEM176A 1
IFI16 LIG3 1
IFI16 FYN 1
IFI16 FMO1 1
IFI16 SYT7 1
IFI16 RUNX3 1
IFI16 PLEKHO1 1
IFI16 VIM 1
IFI16 FAS 1
IFI16 IFNGR1 1
IFI16 NECAP2 1
IFI16 HLCS 1
IFI16 C1R 1
IFI16 ZYX 1
IFI16 IQCC 1
IFI16 HSF2BP 1
IFI16 GBP2 1
IFI16 VCAM1 1
IFI16 STPG2 1
IFI16 PHKA1 1
IFI16 ACSL4 1
IFI16 RAB27A 1
IFI16 TRIB2 1
IFI16 CD5L 1
IFI16 PICALM 1
IFI16 IL4R 1
IFI16 LXN 1
IFI16 MOXD1 1
IFI16 GCKR 1
IFI16 AKR1B1 1
IFI16 ALG9 1
IFI16 L2HGDH 1
IFI16 GMCL1 1
IFI16 NLRP1 1
IFI16 UNC13D 1
IFI16 PROK2 1
IFI16 ARPC2 1
IFI16 AIM2 1
IFI16 CDS1 1
IFI16 ANXA5 1
IFI16 CEP44 1
IFI16 ENPP6 1
IFI16 KIAA0895 1
IFI16 STK17A 1
IFI16 CCDC171 1
IFI16 KIAA1958 1
IFI16 DEPP1 1
IFI16 TRUB1 1
IFI16 TMCO5A 1
IFI16 C16orf46 1
IFI16 ZSCAN21 1
IFI16 NNMT 1
IFI16 SLFN5 1
IFI16 GNG8 1
IFI16 DHRS13 1
IFI16 CASKIN1 1
IFI16 RAB3IL1 1
IFI16 NAALADL1 1
